Complaint_ID,Complaint_Text,Category,Priority,Status,Date
1,Incorrect billing amount on my invoice,Billing Issue,Medium,In Progress,2024-02-24
2,Return request is pending,Refund/Return,Medium,In Progress,2024-12-24
3,Need refund for cancelled order,Refund/Return,High,Resolved,2024-05-06
4,Money not refunded after return,Refund/Return,Low,Resolved,2024-02-02
5,Customer service is not responding,Service Issue,Medium,In Progress,2024-02-24
6,Order marked delivered but not received,Delivery Problem,High,In Progress,2024-01-15
7,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-06-21
8,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-10-20
9,Extra charges applied without notice,Billing Issue,High,Open,2024-01-05
10,No help from customer care,Service Issue,Medium,Open,2024-11-24
11,No help from customer care,Service Issue,Low,Resolved,2024-09-04
12,Package not delivered yet,Delivery Problem,Low,In Progress,2024-03-24
13,Customer service is not responding,Service Issue,High,Resolved,2024-05-21
14,Money not refunded after return,Refund/Return,Low,In Progress,2024-12-06
15,Order marked delivered but not received,Delivery Problem,High,Resolved,2024-09-24
16,Issue not resolved by support,Service Issue,Low,Open,2024-07-07
17,Money not refunded after return,Refund/Return,Medium,Open,2024-07-21
18,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-06-27
19,Product has scratches,Product Defect,Low,Resolved,2024-04-25
20,Wrong delivery address used,Delivery Problem,Medium,Open,2024-01-08
21,Refund not processed yet,Refund/Return,Medium,Open,2024-09-27
22,Customer service is not responding,Service Issue,Medium,Open,2024-06-02
23,Extra charges applied without notice,Billing Issue,Low,Resolved,2024-10-07
24,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-11-21
25,Received a defective piece,Product Defect,Medium,In Progress,2024-08-15
26,Service is very slow,Service Issue,High,In Progress,2024-04-13
27,Support team was rude,Service Issue,Medium,Open,2024-07-30
28,Item stopped working after one day,Product Defect,High,Open,2024-01-10
29,Extra charges applied without notice,Billing Issue,Low,Open,2024-12-11
30,Issue not resolved by support,Service Issue,Low,In Progress,2024-01-04
31,Product has scratches,Product Defect,Medium,Open,2024-08-20
32,Quality is very poor,Product Defect,High,Open,2024-05-31
33,Support team was rude,Service Issue,High,Open,2024-01-15
34,Need refund for cancelled order,Refund/Return,Medium,In Progress,2024-06-29
35,Quality is very poor,Product Defect,Medium,Open,2024-07-07
36,I want to return my order,Refund/Return,High,Open,2024-11-18
37,Delivery was delayed by many days,Delivery Problem,High,In Progress,2024-05-26
38,Quality is very poor,Product Defect,High,Resolved,2024-02-08
39,Incorrect billing amount on my invoice,Billing Issue,Low,Open,2024-11-17
40,Extra charges applied without notice,Billing Issue,Medium,Resolved,2024-02-01
41,Payment deducted but order not confirmed,Billing Issue,High,Resolved,2024-03-26
42,No help from customer care,Service Issue,High,Open,2024-05-19
43,Return request is pending,Refund/Return,High,Open,2024-06-28
44,Money not refunded after return,Refund/Return,Low,Open,2024-02-21
45,I was charged twice for my order,Billing Issue,High,Resolved,2024-11-17
46,Product has scratches,Product Defect,Low,In Progress,2024-09-11
47,Refund not processed yet,Refund/Return,High,Resolved,2024-03-08
48,Customer service is not responding,Service Issue,High,Open,2024-12-27
49,I want to return my order,Refund/Return,Low,Resolved,2024-07-11
50,I want to return my order,Refund/Return,Medium,Resolved,2024-02-15
51,Wrong delivery address used,Delivery Problem,High,Open,2024-09-29
52,Service is very slow,Service Issue,Low,Open,2024-11-06
53,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-08-28
54,Item stopped working after one day,Product Defect,Medium,In Progress,2024-02-27
55,Return request is pending,Refund/Return,High,Resolved,2024-05-04
56,Payment deducted but order not confirmed,Billing Issue,High,In Progress,2024-08-03
57,Need refund for cancelled order,Refund/Return,High,Resolved,2024-09-08
58,Received a defective piece,Product Defect,Low,Resolved,2024-04-20
59,Money not refunded after return,Refund/Return,High,Open,2024-11-07
60,Received a defective piece,Product Defect,High,In Progress,2024-12-18
61,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-10-20
62,Quality is very poor,Product Defect,High,Open,2024-07-19
63,Received a defective piece,Product Defect,Medium,Resolved,2024-05-05
64,Extra charges applied without notice,Billing Issue,High,Resolved,2024-05-28
65,Refund not processed yet,Refund/Return,Medium,Open,2024-02-07
66,Return request is pending,Refund/Return,Low,Open,2024-10-20
67,Money not refunded after return,Refund/Return,High,Open,2024-06-05
68,Refund not processed yet,Refund/Return,Medium,Resolved,2024-07-14
69,Support team was rude,Service Issue,High,Open,2024-10-16
70,Return request is pending,Refund/Return,High,Resolved,2024-05-28
71,Billing details are wrong,Billing Issue,High,In Progress,2024-07-02
72,Refund not processed yet,Refund/Return,Low,Open,2024-06-22
73,I want to return my order,Refund/Return,High,In Progress,2024-12-11
74,The product is damaged,Product Defect,Medium,Open,2024-07-07
75,Incorrect billing amount on my invoice,Billing Issue,Low,In Progress,2024-07-28
76,Customer service is not responding,Service Issue,Medium,In Progress,2024-06-16
77,Item stopped working after one day,Product Defect,Medium,In Progress,2024-09-18
78,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-06-12
79,Quality is very poor,Product Defect,High,In Progress,2024-10-18
80,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-09-22
81,Item stopped working after one day,Product Defect,High,In Progress,2024-02-10
82,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-03-20
83,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-07-04
84,I was charged twice for my order,Billing Issue,High,In Progress,2024-05-25
85,Billing details are wrong,Billing Issue,Low,In Progress,2024-10-20
86,Customer service is not responding,Service Issue,High,Resolved,2024-02-14
87,Item stopped working after one day,Product Defect,Low,Open,2024-04-16
88,Product has scratches,Product Defect,High,Open,2024-03-25
89,Received a defective piece,Product Defect,Low,Open,2024-07-27
90,My order arrived late,Delivery Problem,Medium,Open,2024-07-01
91,Billing details are wrong,Billing Issue,Medium,In Progress,2024-09-25
92,Extra charges applied without notice,Billing Issue,High,Resolved,2024-04-10
93,No help from customer care,Service Issue,Medium,Open,2024-06-29
94,I was charged twice for my order,Billing Issue,High,Open,2024-11-13
95,Issue not resolved by support,Service Issue,High,Resolved,2024-07-04
96,Issue not resolved by support,Service Issue,Low,Resolved,2024-04-09
97,Money not refunded after return,Refund/Return,Medium,In Progress,2024-01-21
98,Support team was rude,Service Issue,Medium,In Progress,2024-04-28
99,Delivery was delayed by many days,Delivery Problem,Medium,In Progress,2024-02-13
100,Payment deducted but order not confirmed,Billing Issue,Medium,Open,2024-11-17
101,My order arrived late,Delivery Problem,High,Resolved,2024-03-04
102,My order arrived late,Delivery Problem,High,In Progress,2024-01-28
103,Return request is pending,Refund/Return,Medium,Resolved,2024-06-22
104,The product is damaged,Product Defect,Low,Open,2024-07-11
105,Billing details are wrong,Billing Issue,Low,Open,2024-01-07
106,Quality is very poor,Product Defect,High,Open,2024-09-13
107,Money not refunded after return,Refund/Return,High,Resolved,2024-08-28
108,Return request is pending,Refund/Return,Low,Resolved,2024-09-08
109,Need refund for cancelled order,Refund/Return,Low,In Progress,2024-12-03
110,Refund not processed yet,Refund/Return,Medium,Open,2024-01-25
111,Package not delivered yet,Delivery Problem,Low,Open,2024-09-23
112,Extra charges applied without notice,Billing Issue,High,Open,2024-12-12
113,Issue not resolved by support,Service Issue,Medium,Resolved,2024-01-09
114,Return request is pending,Refund/Return,High,Open,2024-12-19
115,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-01-16
116,No help from customer care,Service Issue,High,Open,2024-07-08
117,Product has scratches,Product Defect,High,Open,2024-07-11
118,Refund not processed yet,Refund/Return,Low,In Progress,2024-10-31
119,Received a defective piece,Product Defect,Medium,In Progress,2024-10-08
120,Service is very slow,Service Issue,High,In Progress,2024-05-10
121,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-02-25
122,Return request is pending,Refund/Return,High,Open,2024-01-09
123,Issue not resolved by support,Service Issue,Medium,Open,2024-06-30
124,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-10-13
125,No help from customer care,Service Issue,Low,In Progress,2024-11-30
126,My order arrived late,Delivery Problem,Medium,In Progress,2024-04-29
127,Issue not resolved by support,Service Issue,High,Resolved,2024-08-01
128,Service is very slow,Service Issue,Medium,Resolved,2024-01-26
129,Package not delivered yet,Delivery Problem,Low,In Progress,2024-05-12
130,Package not delivered yet,Delivery Problem,High,In Progress,2024-01-26
131,Quality is very poor,Product Defect,Low,Open,2024-07-06
132,Billing details are wrong,Billing Issue,High,Open,2024-02-24
133,Support team was rude,Service Issue,Low,Resolved,2024-05-31
134,Customer service is not responding,Service Issue,Low,Resolved,2024-11-09
135,I want to return my order,Refund/Return,Medium,Open,2024-02-22
136,Delivery was delayed by many days,Delivery Problem,High,In Progress,2024-07-11
137,The product is damaged,Product Defect,Medium,Resolved,2024-01-24
138,Support team was rude,Service Issue,High,Open,2024-07-16
139,Quality is very poor,Product Defect,Low,Resolved,2024-02-12
140,Package not delivered yet,Delivery Problem,Low,Open,2024-01-13
141,The product is damaged,Product Defect,Low,In Progress,2024-08-14
142,The product is damaged,Product Defect,High,Open,2024-05-13
143,Delivery was delayed by many days,Delivery Problem,High,Open,2024-06-24
144,The product is damaged,Product Defect,High,Resolved,2024-12-02
145,Package not delivered yet,Delivery Problem,Low,Open,2024-07-16
146,Wrong delivery address used,Delivery Problem,Low,In Progress,2024-07-25
147,My order arrived late,Delivery Problem,Low,Resolved,2024-09-14
148,Service is very slow,Service Issue,High,Open,2024-04-16
149,The product is damaged,Product Defect,Low,Open,2024-07-05
150,Service is very slow,Service Issue,Low,In Progress,2024-08-11
151,I was charged twice for my order,Billing Issue,High,In Progress,2024-11-06
152,Service is very slow,Service Issue,High,In Progress,2024-10-27
153,Return request is pending,Refund/Return,Low,In Progress,2024-09-06
154,Money not refunded after return,Refund/Return,High,In Progress,2024-12-08
155,Support team was rude,Service Issue,Medium,In Progress,2024-02-19
156,Payment deducted but order not confirmed,Billing Issue,Medium,Open,2024-01-14
157,Quality is very poor,Product Defect,Low,In Progress,2024-07-06
158,The product is damaged,Product Defect,Medium,In Progress,2024-10-30
159,Wrong delivery address used,Delivery Problem,High,In Progress,2024-05-28
160,Payment deducted but order not confirmed,Billing Issue,Medium,Open,2024-05-06
161,Order marked delivered but not received,Delivery Problem,High,In Progress,2024-05-03
162,Return request is pending,Refund/Return,High,Open,2024-05-19
163,The product is damaged,Product Defect,High,Open,2024-06-23
164,Extra charges applied without notice,Billing Issue,Medium,Resolved,2024-05-23
165,I was charged twice for my order,Billing Issue,High,Resolved,2024-02-01
166,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-10-09
167,Payment deducted but order not confirmed,Billing Issue,Low,Resolved,2024-12-15
168,Wrong delivery address used,Delivery Problem,Medium,In Progress,2024-02-10
169,Support team was rude,Service Issue,High,Resolved,2024-06-02
170,Refund not processed yet,Refund/Return,Low,Resolved,2024-12-30
171,Incorrect billing amount on my invoice,Billing Issue,Medium,Resolved,2024-05-31
172,Delivery was delayed by many days,Delivery Problem,High,In Progress,2024-11-05
173,The product is damaged,Product Defect,High,Open,2024-09-19
174,Money not refunded after return,Refund/Return,Low,Resolved,2024-02-21
175,Item stopped working after one day,Product Defect,High,Resolved,2024-01-12
176,Service is very slow,Service Issue,Medium,Resolved,2024-09-08
177,Issue not resolved by support,Service Issue,Low,In Progress,2024-08-22
178,Quality is very poor,Product Defect,Medium,Open,2024-10-16
179,Package not delivered yet,Delivery Problem,Medium,Open,2024-10-22
180,My order arrived late,Delivery Problem,High,Resolved,2024-12-24
181,Extra charges applied without notice,Billing Issue,Low,Resolved,2024-02-05
182,Return request is pending,Refund/Return,Medium,Open,2024-10-26
183,Customer service is not responding,Service Issue,Medium,Open,2024-09-23
184,Support team was rude,Service Issue,Low,In Progress,2024-04-19
185,I was charged twice for my order,Billing Issue,Low,Resolved,2024-04-27
186,Billing details are wrong,Billing Issue,Medium,Resolved,2024-12-08
187,Billing details are wrong,Billing Issue,High,In Progress,2024-09-04
188,Extra charges applied without notice,Billing Issue,High,Open,2024-01-25
189,My order arrived late,Delivery Problem,High,Open,2024-08-16
190,Extra charges applied without notice,Billing Issue,Medium,In Progress,2024-05-01
191,Package not delivered yet,Delivery Problem,Medium,Open,2024-10-05
192,Package not delivered yet,Delivery Problem,High,Resolved,2024-02-20
193,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-12-28
194,Package not delivered yet,Delivery Problem,Medium,Resolved,2024-08-06
195,Received a defective piece,Product Defect,Medium,Open,2024-03-16
196,Issue not resolved by support,Service Issue,Medium,Resolved,2024-01-07
197,Billing details are wrong,Billing Issue,Medium,Resolved,2024-10-07
198,No help from customer care,Service Issue,High,In Progress,2024-03-27
199,Refund not processed yet,Refund/Return,Medium,Resolved,2024-01-18
200,Received a defective piece,Product Defect,Low,Resolved,2024-09-09
201,The product is damaged,Product Defect,Low,Open,2024-02-22
202,Delivery was delayed by many days,Delivery Problem,Medium,Open,2024-09-01
203,Return request is pending,Refund/Return,Low,Open,2024-08-08
204,Received a defective piece,Product Defect,Medium,In Progress,2024-05-27
205,Item stopped working after one day,Product Defect,Medium,In Progress,2024-07-11
206,Wrong delivery address used,Delivery Problem,High,Open,2024-08-12
207,Return request is pending,Refund/Return,High,In Progress,2024-02-18
208,Return request is pending,Refund/Return,Low,Open,2024-02-18
209,Order marked delivered but not received,Delivery Problem,Low,In Progress,2024-04-01
210,The product is damaged,Product Defect,Low,In Progress,2024-05-10
211,My order arrived late,Delivery Problem,Medium,In Progress,2024-01-31
212,Need refund for cancelled order,Refund/Return,Medium,Resolved,2024-11-27
213,Refund not processed yet,Refund/Return,Low,Open,2024-12-16
214,The product is damaged,Product Defect,Low,Open,2024-01-20
215,Service is very slow,Service Issue,Low,Open,2024-12-13
216,My order arrived late,Delivery Problem,Low,Resolved,2024-06-19
217,Order marked delivered but not received,Delivery Problem,High,Resolved,2024-03-12
218,No help from customer care,Service Issue,High,Resolved,2024-11-21
219,Return request is pending,Refund/Return,High,In Progress,2024-01-15
220,Item stopped working after one day,Product Defect,Low,Open,2024-02-05
221,Support team was rude,Service Issue,High,Resolved,2024-07-08
222,The product is damaged,Product Defect,High,Resolved,2024-08-16
223,Received a defective piece,Product Defect,High,Open,2024-12-12
224,Incorrect billing amount on my invoice,Billing Issue,Medium,In Progress,2024-02-12
225,Service is very slow,Service Issue,High,Resolved,2024-05-03
226,Incorrect billing amount on my invoice,Billing Issue,Low,Resolved,2024-10-13
227,Support team was rude,Service Issue,High,In Progress,2024-12-23
228,Support team was rude,Service Issue,Low,Resolved,2024-05-30
229,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-12-24
230,I was charged twice for my order,Billing Issue,High,Open,2024-12-11
231,Refund not processed yet,Refund/Return,Medium,Resolved,2024-03-04
232,Return request is pending,Refund/Return,High,Resolved,2024-02-18
233,Service is very slow,Service Issue,Medium,Open,2024-08-30
234,Wrong delivery address used,Delivery Problem,High,Open,2024-08-22
235,Customer service is not responding,Service Issue,High,Open,2024-05-30
236,Received a defective piece,Product Defect,Medium,In Progress,2024-02-04
237,Customer service is not responding,Service Issue,High,In Progress,2024-11-08
238,Incorrect billing amount on my invoice,Billing Issue,Low,Resolved,2024-10-10
239,I was charged twice for my order,Billing Issue,Low,In Progress,2024-04-06
240,Service is very slow,Service Issue,High,Resolved,2024-11-02
241,Money not refunded after return,Refund/Return,Low,Open,2024-07-23
242,Extra charges applied without notice,Billing Issue,Low,In Progress,2024-03-06
243,Service is very slow,Service Issue,Medium,Resolved,2024-01-27
244,Quality is very poor,Product Defect,Low,In Progress,2024-07-09
245,Service is very slow,Service Issue,Low,Open,2024-11-14
246,Package not delivered yet,Delivery Problem,Medium,Open,2024-09-06
247,Customer service is not responding,Service Issue,Medium,Open,2024-11-05
248,No help from customer care,Service Issue,Low,Open,2024-10-19
249,Issue not resolved by support,Service Issue,High,Resolved,2024-09-05
250,My order arrived late,Delivery Problem,Low,Open,2024-07-23
251,Service is very slow,Service Issue,High,Open,2024-07-29
252,Billing details are wrong,Billing Issue,High,Resolved,2024-03-01
253,Billing details are wrong,Billing Issue,Low,Open,2024-04-12
254,Item stopped working after one day,Product Defect,Low,Resolved,2024-12-30
255,Payment deducted but order not confirmed,Billing Issue,Low,Resolved,2024-07-24
256,Money not refunded after return,Refund/Return,Medium,Resolved,2024-11-28
257,Issue not resolved by support,Service Issue,Low,Open,2024-03-25
258,Incorrect billing amount on my invoice,Billing Issue,Low,In Progress,2024-04-03
259,Extra charges applied without notice,Billing Issue,Low,Open,2024-11-20
260,Payment deducted but order not confirmed,Billing Issue,High,Resolved,2024-12-25
261,Customer service is not responding,Service Issue,Medium,Open,2024-07-16
262,Item stopped working after one day,Product Defect,Medium,Resolved,2024-04-13
263,Return request is pending,Refund/Return,Medium,Open,2024-11-25
264,Support team was rude,Service Issue,Low,Open,2024-09-01
265,Need refund for cancelled order,Refund/Return,Low,Open,2024-05-23
266,Customer service is not responding,Service Issue,Medium,Open,2024-08-16
267,Billing details are wrong,Billing Issue,High,In Progress,2024-02-13
268,Package not delivered yet,Delivery Problem,Low,Open,2024-02-22
269,My order arrived late,Delivery Problem,Low,In Progress,2024-08-25
270,Delivery was delayed by many days,Delivery Problem,Low,Open,2024-07-01
271,No help from customer care,Service Issue,Medium,In Progress,2024-08-05
272,Product has scratches,Product Defect,High,Resolved,2024-04-30
273,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-01-02
274,Wrong delivery address used,Delivery Problem,Low,Open,2024-12-11
275,Service is very slow,Service Issue,Low,Open,2024-12-23
276,I was charged twice for my order,Billing Issue,Low,Resolved,2024-09-29
277,I was charged twice for my order,Billing Issue,High,Resolved,2024-07-14
278,Product has scratches,Product Defect,Low,Open,2024-05-24
279,Money not refunded after return,Refund/Return,Low,In Progress,2024-09-03
280,I was charged twice for my order,Billing Issue,High,Resolved,2024-10-13
281,Wrong delivery address used,Delivery Problem,Low,Resolved,2024-06-04
282,Return request is pending,Refund/Return,Low,Open,2024-11-28
283,Customer service is not responding,Service Issue,Medium,Open,2024-04-04
284,Return request is pending,Refund/Return,Medium,In Progress,2024-03-19
285,Payment deducted but order not confirmed,Billing Issue,High,Resolved,2024-11-23
286,I was charged twice for my order,Billing Issue,Low,Open,2024-06-14
287,I was charged twice for my order,Billing Issue,Medium,Resolved,2024-08-02
288,Wrong delivery address used,Delivery Problem,High,Resolved,2024-05-16
289,Item stopped working after one day,Product Defect,Medium,Resolved,2024-06-29
290,Refund not processed yet,Refund/Return,Low,Open,2024-10-10
291,Return request is pending,Refund/Return,High,Resolved,2024-10-21
292,No help from customer care,Service Issue,High,In Progress,2024-04-18
293,Delivery was delayed by many days,Delivery Problem,Low,In Progress,2024-10-07
294,Refund not processed yet,Refund/Return,High,In Progress,2024-02-12
295,The product is damaged,Product Defect,High,In Progress,2024-09-24
296,Service is very slow,Service Issue,High,Resolved,2024-08-11
297,Order marked delivered but not received,Delivery Problem,Low,Resolved,2024-05-31
298,Customer service is not responding,Service Issue,Low,In Progress,2024-01-02
299,No help from customer care,Service Issue,Low,Resolved,2024-04-02
300,Need refund for cancelled order,Refund/Return,High,In Progress,2024-03-25
301,Received a defective piece,Product Defect,High,In Progress,2024-08-12
302,Incorrect billing amount on my invoice,Billing Issue,High,Open,2024-11-23
303,Item stopped working after one day,Product Defect,High,Open,2024-04-08
304,Payment deducted but order not confirmed,Billing Issue,High,Open,2024-12-05
305,Customer service is not responding,Service Issue,Medium,Resolved,2024-07-06
306,Extra charges applied without notice,Billing Issue,High,In Progress,2024-09-30
307,I was charged twice for my order,Billing Issue,Medium,In Progress,2024-09-07
308,Package not delivered yet,Delivery Problem,Low,Resolved,2024-07-24
309,Order marked delivered but not received,Delivery Problem,High,Open,2024-04-13
310,My order arrived late,Delivery Problem,Medium,Resolved,2024-12-29
311,I was charged twice for my order,Billing Issue,Low,Open,2024-06-04
312,Wrong delivery address used,Delivery Problem,Medium,Resolved,2024-01-22
313,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-10-21
314,Item stopped working after one day,Product Defect,Low,Open,2024-12-13
315,I want to return my order,Refund/Return,Low,Resolved,2024-08-14
316,Quality is very poor,Product Defect,High,In Progress,2024-05-06
317,I want to return my order,Refund/Return,Medium,In Progress,2024-10-29
318,Return request is pending,Refund/Return,Medium,Resolved,2024-08-17
319,Issue not resolved by support,Service Issue,Low,Open,2024-05-31
320,Order marked delivered but not received,Delivery Problem,Low,In Progress,2024-07-12
321,Order marked delivered but not received,Delivery Problem,Medium,In Progress,2024-07-11
322,Service is very slow,Service Issue,High,Resolved,2024-11-28
323,I was charged twice for my order,Billing Issue,Low,Resolved,2024-05-25
324,No help from customer care,Service Issue,Low,Open,2024-09-06
325,Order marked delivered but not received,Delivery Problem,Medium,Open,2024-12-04
326,I want to return my order,Refund/Return,Low,Open,2024-07-11
327,Payment deducted but order not confirmed,Billing Issue,Medium,Resolved,2024-10-09
328,Support team was rude,Service Issue,Medium,In Progress,2024-11-05
329,Return request is pending,Refund/Return,High,Resolved,2024-11-26
330,Extra charges applied without notice,Billing Issue,Low,Open,2024-03-19
331,I was charged twice for my order,Billing Issue,Low,In Progress,2024-09-12
332,Incorrect billing amount on my invoice,Billing Issue,High,Resolved,2024-03-25
333,Incorrect billing amount on my invoice,Billing Issue,High,Open,2024-07-06
